,Tweets,len,ID,Date,Likes,RTs,sentiment
67,"RT @VictoriaLIVE: ?It?s problematic to think civil partnerships are fine, or equal to marriage, when historically they were designed as a l?",140,995952878564073472,2018-05-14 09:04:04,0,12,
68,"Ramadan: How to exercise, eat and sleep well while fasting https://t.co/jg6qAYGA6m",82,995951454111387649,2018-05-14 08:58:25,222,141,
69,"RT @VictoriaLIVE: Should heterosexual couples be able to have a civil partnership?

This couple are taking their case to the Supreme Court?",139,995948631017558016,2018-05-14 08:47:12,0,31,
70,"RT @BBCSport: Arsene Wenger bowed out with a smile on his face.

Here's his final interview as Arsenal boss.

?? https://t.co/jzGX2N6g8r ht?",140,995947993256873984,2018-05-14 08:44:40,0,58,
71,Brexit: Jeremy Hunt warns Boris Johnson over customs comments https://t.co/I6k5bvhYXd,85,995944482918060032,2018-05-14 08:30:43,29,20,
72,"British Gas owner Centrica loses another 110,000 accounts https://t.co/GODtUWoNAh",81,995942759273025537,2018-05-14 08:23:52,31,30,
73,RT @BBCNewsGraphics: Illustrated guide: Veil? Sleeveless? Long train? What will Meghan Markle's wedding dress look like? https://t.co/GiV75?,140,995934714748948480,2018-05-14 07:51:54,0,23,
74,RT @BBCOne: This absolutely heart-breaking moment from Blue Planet II wins the @BAFTA for Must-See Moment. #BAFTATV @OurBluePlanet https://?,140,995932541961023489,2018-05-14 07:43:16,0,1191,
75,"RT @BBCSport: Mohamed Salah set a new Premier League scoring record.

It was a day to remember for the Liverpool forward.

? https://t.co/v?",140,995932289841483776,2018-05-14 07:42:16,0,65,
76,"RT @BBCBreakfast: ""This is really the least we can do.""
Health Secretary @Jeremy_Hunt has announced more funding for brain cancer research?",139,995932222355050496,2018-05-14 07:41:59,0,29,
77,"RT @BBCNewsbeat: ""I couldn?t feel pain ? I couldn?t feel anything.""
This is Amelia's story of the Manchester bomb attack last May.
https://?",140,995930961073360896,2018-05-14 07:36:59,0,29,
78,Alfie Evans: Private funeral to be held https://t.co/H7p94ruZ5Q,63,995921575881924608,2018-05-14 06:59:41,64,18,
79,"RT @BBCSport: Barcelona's dream of becoming the invincibles is over.

Their unbeaten run came to a dramatic end.

? https://t.co/lyH9lgYIWn?",140,995921348194131968,2018-05-14 06:58:47,0,53,
80,"RT @BBCFergusWalsh: The NHS is ""one of our country's greatest treasures"", Prince William will say: https://t.co/Ew0iRdyFRH",122,995914241310896128,2018-05-14 06:30:32,0,27,
81,Danny Cipriani to join Gloucester next season to help England career https://t.co/IFca4XO1wE,92,995913956819685378,2018-05-14 06:29:25,29,7,
82,"RT @BBCMaryam: As an AI expert warns against testing driverless cars on public roads,we want 2 know,do u want driverless test cars on your?",139,995913146840829952,2018-05-14 06:26:12,0,31,
